package,version,root_cause
accesscontrol,5.2,reason2
adafruit-circuitpython-register,1.9.1,reason3
aiohttp-session,2.9.0,reason3
algoliasearch,2.6.0,reason2
algorithmia,1.14.0,reason2
algorithms,0.1.4,reason2
aliyun-python-sdk-core,2.13.30,reason2
aliyun-python-sdk-core-v3,2.13.11,reason2
allure-behave,2.9.43,reason2
amazon.ion,0.7.0,reason2
androguard,3.3.5,reason2
androidviewclient,20.3.0,reason2
aniso8601,9.0.1,reason1
ansible-lint,5.2.1,reason2
ansicolors,1.1.8,reason1
apkid,2.1.1,reason2
apptools,5.1.0,reason2
apscheduler,3.8.0,reason2
arctic,1.79.4,reason2
art,5.3,reason2
ascii_graph,1.5.1,reason2
asciidots,1.3.4,"reason2,3"
asgiref-trio,3.1.0,reason2
ask-sdk,1.16.1,reason2
ask-sdk-core,1.16.1,reason2
ask-sdk-dynamodb-persistence-adapter,1.16.1,reason2
ask-sdk-runtime,1.16.1,reason2
ask-sdk-webservice-support,1.3.2,reason2
aspy.refactor-imports,2.2.0,reason2
astor,0.8.1,reason2
astral,2.2,reason2
astroid,2.8.0,reason2
astunparse,1.6.3,reason2
asv,0.4.2,reason2
attrs,21.2.0,reason2
audioread,2.1.9,reason2
authlib,0.15.2,reason2
awkward,1.5.0,reason2
aws-encryption-sdk,3.0.0,reason2
aws-sam-translator,1.39.0,reason2
aws-xray-sdk,2.8.0,reason2
azure-batch,11.0.0,reason2
azure-cli-batchai,0.4.10,reason2
azure-cli-sql,2.2.5,reason2
azure-cli-vm,2.2.23,reason2
azure-cognitiveservices-language-spellcheck,2.0.0,reason2
azure-cognitiveservices-search-entitysearch,2.0.0,reason2
azure-cognitiveservices-search-newssearch,2.0.0,reason2
azure-cognitiveservices-search-videosearch,2.0.0,reason2
azure-cognitiveservices-vision-customvision,3.1.0,reason2
azure-cognitiveservices-vision-face,0.5.0,reason2
azure-common,1.1.26,reason2
azure-core,1.19.0,reason2
azure-cosmos,4.2.0,reason2
azure-cosmosdb-table,1.0.6,reason2
azure-datalake-store,0.0.51,reason2
azure-eventgrid,4.6.0,reason2
azure-graphrbac,0.61.1,reason2
azure-keyvault-secrets,4.3.0,reason2
azure-kusto-data,2.3.1,reason2
azure-mgmt-advisor,9.0.0,reason2
azure-mgmt-apimanagement,2.1.0,reason2
azure-mgmt-applicationinsights,1.0.0,reason2
azure-mgmt-authorization,2.0.0,reason2
azure-mgmt-batch,16.0.0,reason2
azure-mgmt-batchai,2.0.0,reason2
azure-mgmt-billing,6.0.0,reason2
azure-mgmt-cdn,11.0.0,reason2
azure-mgmt-cognitiveservices,12.0.0,reason2
azure-mgmt-consumption,8.0.0,reason2
