No,Root Cause,Library,Buggy version,Fixed version
1,1,biopython,1.77,1.79
2,1,flopy,3.3.3,3.3.5
3,1,typed_ast,1.4.3,1.5.4
4,1,textdistance,4.2.0,4.6.0
5,1,aiomysql,0.0.21,0.2.0
6,2,glymur,0.9.6,0.9.9
7,2,mimesis,4.1.2,6.1.1
8,2,uvicorn,0.15.0,0.19.0
9,2,neo4j-driver,4.3.0,5.2.0
10,2,django-solo,1.2.0,2.1.0
11,2,ansible-runner,2.0.2,2.3.4
12,2,aiohue,2.6.2,3.0.0
13,2,toapi,2.1.2,2.1.3
14,2,pypuppetdb,2.5.0,3.2.0
15,2,pulumi,3.16.0,3.97.0
16,2,jsonrpcclient,4.0.0,4.0.3
17,2,invenio-db,1.0.8,1.1.5
18,3,alibi,0.6.1,0.8.0
19,3,django-oscar,1.3.0,1.3.3
20,3,opennmt-tf,2.22.0,2.29.1
21,3,django-cms,3.9.0,3.11.0
22,3,dask-jobqueue,0.7.2,0.8.1
23,3,mkdocs-material,7.3.0,8.5.7
24,3,dedupe,2.0.6,2.0.19
25,3,datashader,0.13.0,0.14.2
26,3,allennlp,2.7.0,2.10.1
27,3,fastai,2.5.2,2.7.10
28,3,horizon,20.1.0,23.0.0
