No,Status,Root Cause,Library,star,Issue url,Fixed url,,
1,Fixed,1,zappa,2.6k,https://github.com/zappa/Zappa/issues/1111,https://github.com/zappa/Zappa/pull/1147,,
2,Fixed,1,jpype,965,https://github.com/jpype-project/jpype/issues/1030,https://github.com/jpype-project/jpype/pull/1031,,
3,Fixed,1,gns3-gui,1.8k,https://github.com/GNS3/gns3-gui/issues/3326,https://github.com/GNS3/gns3-gui/commit/863d05c9239d54d025681afc52daaa7f11f775fa,,
4,Fixed,1,datascience,516,https://github.com/data-8/datascience/issues/529,https://github.com/data-8/datascience/pull/555/commits/9acd2fa92265c050d8653236ab504bd14ef83fb0,,
5,Fixed,1,blosc,333,https://github.com/Blosc/python-blosc/issues/268,https://github.com/Blosc/python-blosc/pull/275,,
6,Fixed,1,aiogram,3.7k,https://github.com/aiogram/aiogram/issues/855,https://github.com/aiogram/aiogram/pull/856,,
7,Fixed,1,django-extra-views,1.3k,https://github.com/AndrewIngram/django-extra-views/issues/253,https://github.com/AndrewIngram/django-extra-views/issues/254,,
8,Fixed,1,python-cx_Oracle,862,https://github.com/oracle/python-cx_Oracle/issues/639,https://github.com/oracle/python-oracledb/blob/main/setup.cfg,,
9,Fixed,2,moto,7k,https://github.com/spulec/moto/issues/4859,https://github.com/spulec/moto/pull/4861,,
10,Fixed,2,lightgbm,15.3k,https://github.com/microsoft/LightGBM/issues/5004,https://github.com/microsoft/LightGBM/pull/5006,,
11,Fixed,2,pytest-console-scripts,70,https://github.com/kvas-it/pytest-console-scripts/issues/51,https://github.com/kvas-it/pytest-console-scripts/commit/4f9df495b912e527bd0bef3f1351c3a8e806821a,,
12,Fixed,2,markovify,3.2k,https://github.com/jsvine/markovify/issues/169,https://github.com/jsvine/markovify/commit/5635fe1d78b82834e1ecf9ff18c73c71d3fc68b7,,
13,Fixed,2,dopamine_rl,10.2k,https://github.com/google/dopamine/issues/191,https://github.com/google/dopamine/commit/e87f2e020205400dbb10bf7cbd1672547a1488e0,,
14,Fixed,2,bezier,222,https://github.com/dhermes/bezier/issues/291,https://github.com/dhermes/bezier/pull/292,,
15,Fixed,3,zigpy,658,https://github.com/zigpy/zigpy/issues/906,https://github.com/zigpy/zigpy/pull/911,,
16,Fixed,3,fcm-django,683,https://github.com/xtrinch/fcm-django/issues/200,https://github.com/xtrinch/fcm-django/commit/9987d21b1b6f1c13be71d2b1ba9e467855252b1a,,
17,Fixed,3,drf-haystack,248,https://github.com/rhblind/drf-haystack/issues/169,https://github.com/rhblind/drf-haystack/pull/170,,
18,Fixed,3,dj-places,68,https://github.com/oscarmcm/django-places/issues/37,https://github.com/oscarmcm/django-places/commit/88194added3b0e11c786ed69f2cb54cee1dbc60d,,
