number,package,version,incompatible python version,resource type
1,docker-compose,1.29.2,3.5,whl
2,django-allauth,0.45.0,2.7,gz
3,django-model-utils,4.2.0,2.7,whl
4,kubernetes,18.20.0,3.5,whl
5,moto,2.2.8,3.5,whl
6,oauth2client,4.1.3,2.7,
7,python-jose,3.3.0,2.7,
8,uvicorn,0.15.0,2.7,gz
9,awesome-slugify,1.6.5,2.7,
10,buildbot,3.4.0,2.7,gz
11,conda,4.3.16,3.10,gz
12,discord,1.7.3,2.7,gz
13,dlib,19.22.0,3.7,gz
14,flower,1.0.0,2.7,whl
15,googletrans,3.0.0,2.7,gz
16,mkdocs-material,7.3.0,2.7,whl
17,moviepy,1.0.3,3.5,gz
18,pyodbc,4.0.30,3.7,gz
19,transformers,4.11.3,3.10,whl
20,typed-ast,1.4.1,3.10,
21,adafruit-circuitpython-busdevice,5.1.0,2.7,gz
22,av,8.0.2,3.10,
23,confluent-kafka,1.7.0,3.10,gz
24,django-celery-beat,2.2.0,2.7,whl
25,django-classy-tags,2.0.0,2.7,gz
26,django-extra-views,0.14.0,2.7,gz
27,django-filer,2.0.2,2.7,gz
28,django-oauth-toolkit,1.5.0,2.7,gz
29,django-rq,2.4.0,2.7,whl
30,jpype1,1.3.0,2.7,gz
31,lightgbm,3.3.0,2.7,gz
32,netcdf4,1.5.5,3.10,
33,pygit2,1.7.0,2.7,
34,pyinquirer,1.0.3,2.7,
35,pyproj,3.2.1,3.10,
36,pyscss,1.3.0,3.7,gz
37,python-chess,1.999,2.7,gz
38,pywavelets,1.1.1,3.10,
39,shapely,1.7.1,3.10,
40,ta-lib,0.4.19,3.7,
41,yappi,1.3.2,3.10,
42,zappa,0.54.0,2.7,gz
43,aiomysql,0.0.21,2.7,gz
44,azure,5.0.0,3.7,
45,azure-storage,0.37.0,3.7,
46,blosc,1.10.2,2.7,gz
47,bottleneck,1.3.0,3.10,gz
48,chatterbot,1.1.0,3.10,gz
49,djangocms-text-ckeditor,4.0.0,2.7,gz
50,django-contrib-comments,2.1.0,2.7,gz
51,django-modeltranslation,0.17,2.7,gz
52,django-oscar,3.1,2.7,gz
53,django-rosetta,0.9.5,2.7,gz
54,django-sekizai,2.0.0,2.7,gz
55,django-simple-captcha,0.5.13,2.7,zip
56,django-solo,1.2.0,2.7,gz
57,fastai,2.5.2,3.10,whl
58,kinto,14.5.1,2.7,
59,markovify,0.9.0,2.7,gz
60,neo4j-driver,4.3.0,2.7,gz
61,newspaper3k,0.2.8,2.7,gz
62,pysqlite,2.8.3,3.7,gz
63,python-social-auth,0.3.6,2.7,whl
64,responder,2.0.5,3.10,
65,shopifyapi,9.0.0,2.7,gz
66,sklearn-pandas,2.2.0,2.7,whl
67,sleekxmpp,1.3.3,3.10,gz
68,uncompyle6,3.7.4,2.7,
69,aiogram,2.15,2.7,gz
70,aiohttp-swagger,1.0.15,2.7,gz
71,arcade,2.6.3,3.10,whl
72,asyncio-nats-client,0.11.4,2.7,gz
73,azure-eventhub,5.6.0,3.5,whl
74,bcolz,1.2.1,3.10,gz
75,bjoern,3.1.0,3.7,gz
76,breathe,4.31.0,2.7,gz
77,cvxpy,1.1.7,3.5,gz
78,cx-oracle,8.2.1,2.7,gz
79,django-angular,2.3,2.7,gz
80,django-ordered-model,3.4.1,2.7,gz 
81,django-otp,1.1.1,2.7,gz
82,django-pagedown,2.2.0,2.7,whl
83,django-polymorphic,3.0.0,2.7,whl
84,fiona,1.8.18,3.10,
85,fn,0.4.3,3.10,gz
86,gitdb2,4.0.2,2.7,gz
87,gmpy2,2.0.8,3.7,
88,horizon,20.1.0,2.7,gz
89,inject,4.3.1,2.7,gz
90,moto-ext,2.2.3.2,3.5,whl
91,mysql-python,1.2.4,3.7,
92,napalm,3.3.1,2.7,
93,neo4j,4.3.0,2.7,gz
94,onnx,1.10.1,3.10,
95,plyvel,1.3.0,3.10,
96,pylint-django,2.4.4,2.7,gz
97,pyscard,2.0.0,3.7,
98,pyserial-asyncio,0.6,2.7,gz
99,python-crfsuite,0.9.7,3.10,
100,pytorch-transformers,1.2.0,2.7,
101,rasterio,1.2.3,3.10,
102,rlp,2.0.1,2.7,
103,tensorflow-probability,0.14.0,2.7,
104,vaex-core,4.5.1,2.7,gz
105,adafruit-circuitpython-neopixel,6.2.0,2.7,gz
106,adafruit-dht,1.4.0,3.7,gz
107,adb,1.3.0,3.7,whl
108,aiohttp_cors,0.7.0,2.7,gz
109,airflow,0.6,3.7,gz
110,airtest,1.2.0,3.10,gz
111,aredis,1.1.8,2.7,gz
112,beautifulsoup,3.2.2,3.7,gz
113,cachier,1.5.0,2.7,gz
114,canvasapi,2.2.0,2.7,gz
115,cupy,9.5.0,3.7,gz
116,dash-bootstrap-components,1.0.0,2.7,gz
