number,package,version,incompatible python version,root cause,error occurring time
1,docker-compose,1.29.2,3.5,3,Dependency-choosing
2,django-allauth,0.45.0,2.7,3,Dependency-choosing
3,django-model-utils,4.2.0,2.7,3,Dependency-choosing
4,kubernetes,18.20.0,3.5,3,Dependency-choosing
5,moto,2.2.8,3.5,3,Dependency-choosing
6,uvicorn,0.15.0,2.7,2,TPP build
7,buildbot,3.4.0,2.7,1,TPP build
8,conda,4.3.16,3.10,2,TPP build
9,discord,1.7.3,2.7,2,TPP build
10,flower,1.0.0,2.7,3,Dependency-choosing
11,googletrans,3.0.0,2.7,3,Dependency-choosing
12,mkdocs-material,7.3.0,2.7,3,Dependency-choosing
13,moviepy,1.0.3,3.5,3,Dependency-choosing
14,adafruit-circuitpython-busdevice,5.1.0,2.7,3,Dependency-choosing
15,django-celery-beat,2.2.0,2.7,3,Dependency-choosing
16,django-classy-tags,2.0.0,2.7,3,Dependency-choosing
17,django-extra-views,0.14.0,2.7,3,Dependency-choosing
18,django-filer,2.0.2,2.7,3,Dependency-choosing
19,django-oauth-toolkit,1.5.0,2.7,3,Dependency-choosing
20,django-rq,2.4.0,2.7,3,Dependency-choosing
21,jpype1,1.3.0,2.7,2,TPP build
22,lightgbm,3.3.0,2.7,2,TPP build
23,pyscss,1.3.0,3.7,2,TPP build
24,python-chess,1.999,2.7,3,Dependency-choosing
25,zappa,0.54.0,2.7,1,TPP build
26,aiomysql,0.0.21,2.7,1,TPP build
27,blosc,1.10.2,2.7,1,TPP build
28,djangocms-text-ckeditor,4.0.0,2.7,3,Dependency-choosing
29,django-contrib-comments,2.1.0,2.7,3,Dependency-choosing
30,django-modeltranslation,0.17,2.7,3,Dependency-choosing
31,django-oscar,3.1,2.7,3,Dependency-choosing
32,django-rosetta,0.9.5,2.7,3,Dependency-choosing
33,django-sekizai,2.0.0,2.7,3,Dependency-choosing
34,django-simple-captcha,0.5.13,2.7,3,Dependency-choosing
35,fastai,2.5.2,3.10,3,Dependency-choosing
36,markovify,0.9.0,2.7,2,TPP build
37,neo4j-driver,4.3.0,2.7,2,TPP build
38,newspaper3k,0.2.8,2.7,1,TPP build
39,pysqlite,2.8.3,3.7,1,TPP build
